feature,mutual_info,abs_corr
affordability_ratio,0.006280962882822871,0.002241485398163198
emi_to_income,0.006227300810524472,0.0022758065483283615
annual_income,0.003242557262255419,0.05686375238641912
stated_budget,0.0016922713201112938,0.008024588772974375
price_to_budget,0.0016697695683169922,0.02490083406052521
emi_monthly,0.0014532697549412,0.03338856765023562
loan_amount,0.0013343721983773982,0.03338857552091575
carpet_sqft,0.0012084538079839557,0.036469245820367514
rate_psf,0.001009467941182729,0.010230456493137263
budget_match,0.0006941375970621194,0.04727726872172957
bhk_enquired,0.0006555318614424191,0.0282052775888059
bhk_delta,0.0004831227011940168,0.014337362851185512
property_ticket,0.0003908631697071563,0.03355848642013364
bhk_preference,0.00028939752535692403,0.02307120965748072
bhk_match,0.00023958000166704116,0.021511369016609657
intent,0.00015931110614001917,0.017612761473667395
city_Mumbai-MMR,6.67292855318323e-05,0.014241925718050092
city_Pune,3.573654474967394e-05,0.003054377733798508
city_Kolkata,1.5054908969945775e-05,0.010205573574033304
city_Bengaluru,1.305029589390716e-05,0.005262388034183707
city_Delhi-NCR,1.268888827312721e-05,0.008980190413916062
city_Hyderabad,5.496546401747432e-06,0.00502327831160227
city_Chennai,1.6599883404487537e-08,0.0026452684525128203
downpayment_pct,0.0,0.0015176002818569425
age,0.0,0.0004270281606133001
